"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Rb_19_45147766","OG0000255","Rb","Glyma.19G195700","Gmax_Wm82.a2.v1",19,45147766,44947766,45347766,45278065,45279422,"PF04520 - Senescence regulator (Senescence_reg)  (1 of 30)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_19_46329244","OG0000397","Rb","Glyma.19G209500","Gmax_Wm82.a2.v1",19,46329244,46129244,46529244,46405625,46407445,"PTHR22814:SF75 - HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_1_19000262","OG0011774","Rb","Glyma.01G077400","Gmax_Wm82.a2.v1",1,19000262,18800262,19244380,18975769,19009333,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_1_26003","OG0002336","Rb","Glyma.01G005000","Gmax_Wm82.a2.v1",1,26003,1,766240,464509,466549,"KOG1595 - CCCH-type Zn-finger protein (1 of 16)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_1_2691624","OG0007691","Rb","Glyma.01G026000","Gmax_Wm82.a2.v1",1,2691624,2491624,3855869,2732449,2740742,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_1_31480079","OG0005948","Rb","Glyma.01G097000","Gmax_Wm82.a2.v1",1,31480079,31280079,31680079,31566269,31567578,"PTHR31213:SF6 - ABSCISIC ACID RECEPTOR PYL1-RELATED (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_2_10483368","OG0000193","Rb","Glyma.02G109100","Gmax_Wm82.a2.v1",2,10483368,10283368,11245403,10447935,10450388,"PF01357 - Pollen allergen (Pollen_allerg_1)  (1 of 79)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_2_31101864","OG0001258","Rb","Glyma.02G182900","Gmax_Wm82.a2.v1",2,31101864,30901864,31865695,31374774,31382650,"PTHR24349:SF126 - CALCIUM-DEPENDENT PROTEIN KINASE 32 (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_2_3142154","OG0007691","Rb","Glyma.02G038800","Gmax_Wm82.a2.v1",2,3142154,2942154,3680874,3618925,3626387,"3.6.3.43 - Peptide-transporting ATPase (1 of 13)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_2_44180381","OG0005958","Rb","Glyma.02G254000","Gmax_Wm82.a2.v1",2,44180381,43980381,44634423,44097755,44103344,"K01756 - adenylosuccinate lyase (purB, ADSL)  (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_3_35349328","OG0001258","Rb","Glyma.03G138000","Gmax_Wm82.a2.v1",3,35349328,35149328,35564002,35409905,35414390,"PTHR24349:SF93 - CALCIUM-DEPENDENT PROTEIN KINASE 14 (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
