"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Sr_1_4374694","OG0003040","Sr","Glyma.01G044100","Gmax_Wm82.a2.v1",1,4374694,4174694,4856361,4844360,4848720,"PTHR27001:SF160 - PROTEIN KINASE 2A, CHLOROPLASTIC-RELATED (1 of 5)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_20_42540276","OG0000490","Sr","Glyma.20G188600","Gmax_Wm82.a2.v1",20,42540276,42340276,43341694,42726514,42732614,"PTHR32044:SF21 - MANNAN SYNTHASE 7-RELATED (1 of 2)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_2_1023576","OG0000104","Sr","Glyma.02G008000","Gmax_Wm82.a2.v1",2,1023576,823576,1689488,822822,829313,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_2_9589534","OG0001043","Sr","Glyma.02G107100","Gmax_Wm82.a2.v1",2,9589534,9389534,10632016,10207938,10209946,"K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)  (1 of 6)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_3_42039861","OG0000104","Sr","Glyma.03G224100","Gmax_Wm82.a2.v1",3,42039861,41839861,44035838,42643290,42649228,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_8_40952506","OG0003040","Sr","Glyma.08G297900","Gmax_Wm82.a2.v1",8,40952506,40752506,41601259,41477265,41481053,"PTHR27001:SF160 - PROTEIN KINASE 2A, CHLOROPLASTIC-RELATED (1 of 5)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_9_45312051","OG0000109","Sr","Glyma.09G229100","Gmax_Wm82.a2.v1",9,45312051,45112051,45813010,45312137,45314098,"",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_9_46308505","OG0001043","Sr","Glyma.09G239000","Gmax_Wm82.a2.v1",9,46308505,46108505,46519233,46145132,46147512,"K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)  (1 of 6)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_9_5474238","OG0001100","Sr","Glyma.09G059500","Gmax_Wm82.a2.v1",9,5474238,5274238,6070243,5497068,5503271,"PTHR22951//PTHR22951:SF17 - CLATHRIN ASSEMBLY PROTEIN // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_18_13985367","OG0001043","Sr","Glyma.18G119100","Gmax_Wm82.a2.v1",18,13985367,13785367,16224812,14719363,14721081,"K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)  (1 of 6)",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_18_13985367","OG0003040","Sr","Glyma.18G123800","Gmax_Wm82.a2.v1",18,13985367,13785367,16224812,16046465,16050197,"PTHR27001:SF160 - PROTEIN KINASE 2A, CHLOROPLASTIC-RELATED (1 of 5)",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_20_1227595","OG0005883","Sr","Glyma.20G014300","Gmax_Wm82.a2.v1",20,1227595,1027595,2264115,1287080,1292171,"",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_20_1227595","OG0008310","Sr","Glyma.20G014400","Gmax_Wm82.a2.v1",20,1227595,1027595,2264115,1322447,1326577,"PTHR24326:SF114 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-17-RELATED (1 of 2)",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_20_35744525","OG0003101","Sr","Glyma.20G121800","Gmax_Wm82.a2.v1",20,35744525,35544525,36673914,36439119,36442371,"K18753 - butyrate response factor 1 (ZFP36L)  (1 of 2)",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_20_35744525","OG0007530","Sr","Glyma.20G123200","Gmax_Wm82.a2.v1",20,35744525,35544525,36673914,36597149,36600007,"PTHR15492:SF1 - CYCLIN-D1-BINDING PROTEIN 1 (1 of 2)",3,2,0.5,0.680615384615385,0.0958153846153846,0.172467692307692
"Gmax_Wm82.a2.v1_Sr_10_48991906","OG0003101","Sr","Glyma.10G269300","Gmax_Wm82.a2.v1",10,48991906,48791906,49191906,49171523,49174690,"",3,3,0.666666666666667,0.680615384615385,0.0638769230769231,0.16608
"Gmax_Wm82.a2.v1_Sr_10_48991906","OG0005893","Sr","Glyma.10G265900","Gmax_Wm82.a2.v1",10,48991906,48791906,49191906,48949575,48955853,"K10758 - thiol oxidase (QSOX)  (1 of 3)",3,3,0.666666666666667,0.680615384615385,0.0638769230769231,0.16608
"Gmax_Wm82.a2.v1_Sr_10_48991906","OG0007530","Sr","Glyma.10G267900","Gmax_Wm82.a2.v1",10,48991906,48791906,49191906,49062535,49064477,"PTHR15492:SF1 - CYCLIN-D1-BINDING PROTEIN 1 (1 of 2)",3,3,0.666666666666667,0.680615384615385,0.0638769230769231,0.16608
"Gmax_Wm82.a2.v1_Sr_17_3094261","OG0000104","Sr","Glyma.17G041200","Gmax_Wm82.a2.v1",17,3094261,2894261,3294261,3041792,3047638,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,4,0.75,0.680615384615385,0.0479076923076923,0.162886153846154
"Gmax_Wm82.a2.v1_Sr_17_3094261","OG0000104","Sr","Glyma.17G041300","Gmax_Wm82.a2.v1",17,3094261,2894261,3294261,3066546,3073337,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,4,0.75,0.680615384615385,0.0479076923076923,0.162886153846154
"Gmax_Wm82.a2.v1_Sr_17_3094261","OG0000104","Sr","Glyma.17G041400","Gmax_Wm82.a2.v1",17,3094261,2894261,3294261,3076764,3083449,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,4,0.75,0.680615384615385,0.0479076923076923,0.162886153846154
"Gmax_Wm82.a2.v1_Sr_17_3094261","OG0003808","Sr","Glyma.17G043700","Gmax_Wm82.a2.v1",17,3094261,2894261,3294261,3239598,3242236,"PTHR33077:SF5 - PROTEIN TIFY 3A-RELATED (1 of 4)",3,4,0.75,0.680615384615385,0.0479076923076923,0.162886153846154
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0000104","Sr","Glyma.13G118500","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,23126352,23132115,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0000104","Sr","Glyma.13G118600","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,23138789,23145770,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0000104","Sr","Glyma.13G118800","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,23151486,23158259,"",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0000104","Sr","Glyma.13G118900","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,23165832,23171431,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0000104","Sr","Glyma.13G119000","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,23173905,23180011,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Gmax_Wm82.a2.v1_Sr_13_23063311","OG0003808","Sr","Glyma.13G116100","Gmax_Wm82.a2.v1",13,23063311,22863311,23529861,22961118,22964374,"",3,6,0.833333333333333,0.680615384615385,0.0319384615384615,0.159692307692308
"Athaliana_TAIR10_Sr_1_24730646","OG0000232","Sr","AT1G66410","Athaliana_TAIR10",1,24730646,24655646,24805646,24774217,24775984,"calmodulin 4",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_1_24943821","OG0003101","Sr","AT1G66810","Athaliana_TAIR10",1,24943821,24868821,25018821,24927613,24928803,"Zinc finger C-x8-C-x5-C-x3-H type family protein",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_2_745217","OG0003040","Sr","AT2G02800","Athaliana_TAIR10",2,745217,670217,820217,795515,799443,"protein kinase 2B",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_5_1921267","OG0000109","Sr","AT5G06300","Athaliana_TAIR10",5,1921267,1846267,1996267,1921744,1925370,"Putative lysine decarboxylase family protein",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_5_7143099","OG0003808","Sr","AT5G20900","Athaliana_TAIR10",5,7143099,7068099,7218245,7090704,7092539,"jasmonate-zim-domain protein 12",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_5_7609580","OG0000490","Sr","AT5G22740","Athaliana_TAIR10",5,7609580,7534580,7684580,7554928,7560073,"cellulose synthase-like A02",3,1,0,0.923235294117647,0.0460588235294118,0.0460588235294118
"Athaliana_TAIR10_Sr_3_10852234","OG0001043","Sr","AT3G28900","Athaliana_TAIR10",3,10852234,10777234,11011838,10902647,10904458,"Ribosomal protein L34e superfamily protein",3,2,0.5,0.923235294117647,0.0230294117647059,0.0414529411764706
"Athaliana_TAIR10_Sr_3_10852234","OG0011782","Sr","AT3G28760","Athaliana_TAIR10",3,10852234,10777234,11011838,10792955,10795312,"",3,2,0.5,0.923235294117647,0.0230294117647059,0.0414529411764706
"Athaliana_TAIR10_Sr_4_834495","OG0000104","Sr","AT4G01820","Athaliana_TAIR10",4,834495,759495,909495,780734,785329,"P-glycoprotein 3",3,2,0.5,0.923235294117647,0.0230294117647059,0.0414529411764706
"Athaliana_TAIR10_Sr_4_834495","OG0000104","Sr","AT4G01830","Athaliana_TAIR10",4,834495,759495,909495,785683,790447,"P-glycoprotein 5",3,2,0.5,0.923235294117647,0.0230294117647059,0.0414529411764706
"Athaliana_TAIR10_Sr_1_8164273","OG0005883","Sr","AT1G23080","Athaliana_TAIR10",1,8164273,8089273,8239517,8180577,8183570,"Auxin efflux carrier family protein",3,3,0.666666666666667,0.923235294117647,0.0153529411764706,0.0399176470588235
"Athaliana_TAIR10_Sr_1_8164273","OG0007530","Sr","AT1G22970","Athaliana_TAIR10",1,8164273,8089273,8239517,8130716,8132208,"PTHR15492:SF1 - CYCLIN-D1-BINDING PROTEIN 1 (1 of 3)",3,3,0.666666666666667,0.923235294117647,0.0153529411764706,0.0399176470588235
"Athaliana_TAIR10_Sr_1_8164273","OG0007530","Sr","AT1G22980","Athaliana_TAIR10",1,8164273,8089273,8239517,8132444,8134350,"PTHR15492:SF1 - CYCLIN-D1-BINDING PROTEIN 1 (1 of 3)",3,3,0.666666666666667,0.923235294117647,0.0153529411764706,0.0399176470588235
"Athaliana_TAIR10_Sr_2_115247","OG0001100","Sr","AT2G01600","Athaliana_TAIR10",2,115247,40247,296409,268818,272610,"ENTH/ANTH/VHS superfamily protein",3,4,0.75,0.923235294117647,0.0115147058823529,0.03915
"Athaliana_TAIR10_Sr_2_115247","OG0005883","Sr","AT2G01420","Athaliana_TAIR10",2,115247,40247,296409,180105,183328,"Auxin efflux carrier family protein",3,4,0.75,0.923235294117647,0.0115147058823529,0.03915
"Athaliana_TAIR10_Sr_2_115247","OG0005893","Sr","AT2G01270","Athaliana_TAIR10",2,115247,40247,296409,139331,142560,"quiescin-sulfhydryl oxidase 2",3,4,0.75,0.923235294117647,0.0115147058823529,0.03915
"Athaliana_TAIR10_Sr_2_115247","OG0008310","Sr","AT2G01430","Athaliana_TAIR10",2,115247,40247,296409,187798,190369,"homeobox-leucine zipper protein 17",3,4,0.75,0.923235294117647,0.0115147058823529,0.03915
"Zmays_RefGen_V4_Sr_2_29481767.5714286","OG0000109","Sr","Zm00001d003013","Zmays_RefGen_V4",2,29481767.5714286,29306917,29615183,29406645,29411158,"(1 of 9) K06966 - uncharacterized protein (K06966)",3,1,0,0.988785714285714,0.00672857142857144,0.00672857142857144
"Zmays_RefGen_V4_Sr_3_209273822","OG0000104","Sr","Zm00001d043762","Zmays_RefGen_V4",3,209273822,209173822,209373822,209228407,209235345,"(1 of 57) 3.6.3.44 - Xenobiotic-transporting ATPase / Steroid-transporting ATPase",3,1,0,0.988785714285714,0.00672857142857144,0.00672857142857144
"Zmays_RefGen_V4_Sr_4_34440832","OG0001043","Sr","Zm00001d049552","Zmays_RefGen_V4",4,34440832,34320065,34566604,34381361,34384226,"(1 of 6) K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)",3,1,0,0.988785714285714,0.00672857142857144,0.00672857142857144
"Zmays_RefGen_V4_Sr_6_166475316","OG0001100","Sr","Zm00001d038892","Zmays_RefGen_V4",6,166475316,166375316,166575316,166531936,166538352,"(1 of 5) PTHR22951//PTHR22951:SF25 - CLATHRIN ASSEMBLY PROTEIN // SUBFAMILY NOT NAMED",3,1,0,0.988785714285714,0.00672857142857144,0.00672857142857144
"Zmays_RefGen_V4_Sr_1_279918027.583333","OG0000232","Sr","Zm00001d033980","Zmays_RefGen_V4",1,279918027.583333,279817651,280018270,279980867,279981749,"(1 of 1) PTHR23050//PTHR23050:SF198 - CALCIUM BINDING PROTEIN // SUBFAMILY NOT NAMED",3,2,0.5,0.988785714285714,0.00336428571428572,0.0060557142857143
"Zmays_RefGen_V4_Sr_1_279918027.583333","OG0003808","Sr","Zm00001d033972","Zmays_RefGen_V4",1,279918027.583333,279817651,280018270,279900021,279901559,"(1 of 7) PTHR33077//PTHR33077:SF5 - FAMILY NOT NAMED // PROTEIN TIFY 3A-RELATED",3,2,0.5,0.988785714285714,0.00336428571428572,0.0060557142857143
"Zmays_RefGen_V4_Sr_6_167227382","OG0005893","Sr","Zm00001d038927","Zmays_RefGen_V4",6,167227382,167127382,167327382,167149767,167155236,"(1 of 2) 1.8.3.2 - Thiol oxidase / Sulfhydryl oxidase",3,2,0.5,0.988785714285714,0.00336428571428572,0.0060557142857143
"Zmays_RefGen_V4_Sr_6_167227382","OG0007530","Sr","Zm00001d038937","Zmays_RefGen_V4",6,167227382,167127382,167327382,167324066,167326614,"(1 of 1) PTHR15492//PTHR15492:SF1 - FAMILY NOT NAMED // CYCLIN-D1-BINDING PROTEIN 1",3,2,0.5,0.988785714285714,0.00336428571428572,0.0060557142857143
"Zmays_RefGen_V4_Sr_3_218446386","OG0003101","Sr","Zm00001d044074","Zmays_RefGen_V4",3,218446386,218346386,218546386,218387500,218388660,"(1 of 2) K18753 - butyrate response factor 1 (ZFP36L)",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
"Zmays_RefGen_V4_Sr_3_218446386","OG0005883","Sr","Zm00001d044083","Zmays_RefGen_V4",3,218446386,218346386,218546386,218523216,218528077,"(1 of 1) PTHR31752//PTHR31752:SF12//PTHR31752:SF20 - FAMILY NOT NAMED // SUBFAMILY NOT NAMED // AUXIN EFFLUX CARRIER COMPONENT 1",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
"Zmays_RefGen_V4_Sr_3_218446386","OG0008310","Sr","Zm00001d044081","Zmays_RefGen_V4",3,218446386,218346386,218546386,218481322,218485402,"(1 of 1) PTHR24326:SF114 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-17-RELATED",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
"Zmays_RefGen_V4_Sr_9_154432607.8","OG0000490","Sr","Zm00001d048319","Zmays_RefGen_V4",9,154432607.8,154332327,154532708,154468684,154472507,"(1 of 17) 2.4.1.32 - Glucomannan 4-beta-mannosyltransferase / Glucomannan-synthase",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
"Zmays_RefGen_V4_Sr_9_154432607.8","OG0003040","Sr","Zm00001d048314","Zmays_RefGen_V4",9,154432607.8,154332327,154532708,154446529,154450415,"(1 of 1497) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
"Zmays_RefGen_V4_Sr_9_154432607.8","OG0011782","Sr","Zm00001d048315","Zmays_RefGen_V4",9,154432607.8,154332327,154532708,154450335,154453803,"(1 of 1) 1.4.1.24 - 3-dehydroquinate synthase II / DHQ synthase II",3,3,0.666666666666667,0.988785714285714,0.00224285714285715,0.00583142857142858
